Word Valence_Mean
saddened -2
sadly -2
safe 7.07
sailboat 7.25
saint 6.49
salad 5.74
salute 5.92
sapphire 7.00
sarcastic -2
satisfied 7.94
save 6.45
savior 7.73
scalding 2.82
scam -2
scandal 3.32
scapegoat 3.67
scar 3.38
scared 2.78
scholar 7.26
scissors 5.05
scorching 3.76
scorn 2.84
scornful 3.02
scorpion 3.69
scream 3.88
scum 2.43
scurvy 3.19
seasick 2.05
seat 4.95
secure 7.57
sedition -2
selfish 2.42
sentiment 5.98
serious 5.08
severe 3.20
sex 8.05
sexy 8.02
shadow 4.35
shamed 2.50
share 1
shark 3.65
sheltered 5.75
ship 5.55
shock -2
shocked -2
shocking -2
shocks -2
shoot -1
shotgun 4.37
shriek 3.93
shy 4.64
sick 1.90
sickness 2.25
silk 6.90
silly 7.41
sin 2.80
sincere 2
sinful 2.93
sissy 3.14
skeptic -2
skeptical 4.52
skijump 7.06
skull 4.27
sky 7.37
skyscraper 5.88
slap 2.95
slaughter 1.64
slave 1.84
sleep 7.20
slime 4.00
slow 3.93
slum 2.39
slush 4.66
smallpox 2.52
smart 1
smooth 6.58
snake 3.31
snob 3.36
snow 7.08
snuggle 7.92
social 6.88
soft 7.12
solemn 4.32
solid 2
solidarity 2
solution 1
solutions 1
solve 1
solved 1
solves 1
solving 1
somber -2
song 7.10
soothe 7.30
sorrow -2
sorrowful -2
sorry -1
sour 3.93
spam -2
space 6.78
spanking 3.55
spark 1
sparkle 3
sparkles 3
sparkling 3
speculative -2
sphere 5.33
spider 3.33
spirit 7.00
spouse 4.07
spray 5.45
spring 7.76
square 4.74
stagnant 4.15
star 7.27
startled 4.50
starving 2.39
statue 5.17
steadfast 2
steal -2
steals -2
stench 2.19
stereotype -2
stereotyped -2
stiff 4.68
stifled -1
stimulate 1
stimulated 1
stimulates 1
stimulating 2
stingy -2
stink 3.00
stomach 4.82
stolen -2
stool 4.56
stop -1
stopped -1
stopping -1
stops -1
storm 4.95
stout 2
stove 4.98
straight 1
strange -1
strangely -1
strangled -2
street 5.22
strength 2
strengthen 2
strengthened 2
strengthening 2
strengthens 2
stress 2.09
stressed -2
stressor -2
stressors -2
stricken -2
strike -1
strikers -2
strikes -1
strong 7.11
stronger 2
strongest 2
struck -1
struggle -2
struggled -2
struggles -2
struggling -2
stubborn -2
stuck -2
stunned -2
stunning 4
stupid 2.31
stupidly -2
subdued 4.67
substantial 1
substantially 1
subversive -2
success 8.29
successful 3
suck -3
sucks -3
suffer -2
suffering -2
suffers -2
suffocate 1.56
sugar 6.74
suicidal -2
suicide 1.25
suing -2
sulking -2
sulky -2
sullen -2
sun 7.55
